Ticker,Composite_Z,Classification,Name,Company Name,Industry,SET ESG Ratings 
HANA.BK,0.2001556834668582,Neutral,HANA,HANA MICROELECTRONICS PUBLIC COMPANY LIMITED,Technology,AA
HARN.BK,0.1824808152794362,Neutral,HARN,HARN ENGINEERING SOLUTIONS PUBLIC COMPANY LIMITED,Industrials,A
HEALTH.BK,-0.1796100912022439,Exit Point,HEALTH,,,
HENG.BK,0.0944769963023408,Neutral,HENG,HENG LEASING AND CAPITAL PUBLIC COMPANY LIMITED,Financials,AA
HFT.BK,-0.0954435264153528,Neutral,HFT,,,
HL.BK,-0.4853921949507005,Exit Point,HL,,,
HMPRO.BK,0.0291951107760586,Neutral,HMPRO,HOME PRODUCT CENTER PUBLIC COMPANY LIMITED,Services,AA
HPF.BK,0.1555800327710798,Neutral,HPF,,,
HPT.BK,0.2431925787557945,Neutral,HPT,,,
HTC.BK,0.0880973367878518,Neutral,HTC,HAAD THIP PUBLIC COMPANY LIMITED,Agro & Food Industry,AA
HTECH.BK,-0.0140034763867597,Neutral,HTECH,,,
HUMAN.BK,0.5020265083584875,Neutral,HUMAN,,,
HYDRO.BK,0.730557533137918,Neutral,HYDRO,,,
HYDROGEN.BK,-0.5490740424783103,Exit Point,HYDROGEN,,,
I2.BK,-0.4038748916864835,Exit Point,I2,,,
ICC.BK,0.8041383562891706,Neutral,ICC,,,
ICHI.BK,-0.5471397021964777,Exit Point,ICHI,ICHITAN GROUP PUBLIC COMPANY LIMITED,Agro & Food Industry,A
ICN.BK,-0.0565911765409927,Neutral,ICN,,,
IFS.BK,-0.4934407495881738,Exit Point,IFS,,,
IHL.BK,0.1626743959706472,Neutral,IHL,,,
IIG.BK,-0.6089680078916043,Exit Point,IIG,,,
III.BK,-0.3291572409672232,Exit Point,III,TRIPLE I LOGISTICS PUBLIC COMPANY LIMITED,Services,AA
ILINK.BK,0.2270623874801714,Neutral,ILINK,INTERLINK COMMUNICATION PUBLIC COMPANY LIMITED,Technology,A
ILM.BK,0.0428544960765702,Neutral,ILM,INDEX LIVING MALL PUBLIC COMPANY LIMITED,Services,AA
IMH.BK,-0.6675069322199995,Exit Point,IMH,,,
IMPACT.BK,0.1856346632236347,Neutral,IMPACT,,,
IND.BK,0.4881592460106733,Neutral,IND,,,
INET.BK,0.0973033474248469,Neutral,INET,,,
INETREIT.BK,1.4235147017676313,Weight Increase,INETREIT,,,
INGRS.BK,0.2459004644093476,Neutral,INGRS,,,
INOX.BK,0.0454418316806304,Neutral,INOX,,,
INSET.BK,-0.4687053516201495,Exit Point,INSET,INFRASET PUBLIC COMPANY LIMITED,Technology,BBB
INSURE.BK,0.2966378577870773,Neutral,INSURE,,,
IP.BK,0.4813548933807102,Neutral,IP,,,
IRC.BK,-0.5245278623839443,Exit Point,IRC,INOUE RUBBER (THAILAND) PUBLIC COMPANY LIMITED,Industrials,A
IRCP.BK,-0.1336509857505763,Exit Point,IRCP,,,
IROYAL.BK,0.1209636747326029,Neutral,IROYAL,,,
IRPC.BK,-0.2299492561586543,Exit Point,IRPC,,,
ISSARA.BK,-0.0072661914570537,Neutral,ISSARA,,,
IT.BK,-0.3479031784762488,Exit Point,IT,IT CITY PUBLIC COMPANY LIMITED,Services,A
ITC.BK,-0.5401564183762275,Exit Point,ITC,,,
ITD.BK,-0.1092703972533027,Exit Point,ITD,,,
ITEL.BK,-0.2810575186085368,Exit Point,ITEL,INTERLINK TELECOM PUBLIC COMPANY LIMITED,Technology,A
ITNS.BK,0.4375767011396116,Neutral,ITNS,,,
ITTHI.BK,0.077239626092222,Neutral,ITTHI,,,
IVF.BK,-0.8694145312387012,Exit Point,IVF,,,
IVL.BK,0.1195944734206974,Neutral,IVL,INDORAMA VENTURES PUBLIC COMPANY LIMITED,Industrials,AAA
J.BK,-0.61021943482502,Exit Point,J,,,
JAK.BK,1.2128810595394608,Weight Increase,JAK,,,
JAS.BK,0.058418418641905,Neutral,JAS,,,
JCK.BK,0.353847157402092,Neutral,JCK,,,
JCKH.BK,0.1120289118591556,Neutral,JCKH,,,
JCT.BK,0.264581538967892,Neutral,JCT,,,
JDF.BK,-0.2483492169398455,Exit Point,JDF,,,
JKN.BK,0.0226114715640208,Neutral,JKN,,,
JMART.BK,-0.6640399429510021,Exit Point,JMART,JAYMART GROUP HOLDINGS PUBLIC COMPANY LIMITED,Technology,A
JMT.BK,-0.3396699333391623,Exit Point,JMT,JMT NETWORK SERVICES PUBLIC COMPANY LIMITED,Financials,BBB
JPARK.BK,-0.2678540646944794,Exit Point,JPARK,,,
JR.BK,-0.4212220890262976,Exit Point,JR,,,
JSP.BK,-0.1928330681048127,Exit Point,JSP,,,
JTS.BK,-0.0919835315472921,Neutral,JTS,,,
JUBILE.BK,-1.2208403395109515,Exit Point,JUBILE,,,
K.BK,0.4869875838216677,Neutral,K,,,
KAMART.BK,-0.3102248773343319,Exit Point,KAMART,,,
KASET.BK,-0.0417067619449574,Neutral,KASET,,,
KBANK.BK,0.3620305951493145,Neutral,KBANK,KASIKORNBANK PUBLIC COMPANY LIMITED,Financials,AAA
KBS.BK,0.2026441687488532,Neutral,KBS,,,
KBSPIF.BK,-0.0106360806060571,Neutral,KBSPIF,,,
KC.BK,1.090136620699244,Weight Increase,KC,,,
KCAR.BK,1.5977610932155806,Weight Increase,KCAR,,,
KCC.BK,-0.4190781015730575,Exit Point,KCC,,,
KCE.BK,-0.132199441526266,Exit Point,KCE,KCE ELECTRONICS PUBLIC COMPANY LIMITED,Technology,A
